行业,区域,营业执照名,店铺名,工作地址,岗位名称,工作要求,工资,联系人,联系电话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房产/中介,玉山镇,昆山乐享居房产经纪有限公司,乐享居房产,昆山开发区衡山路871号,销售员若干名,年龄18-45周岁，男女不限，有销售经验者优先，年底根据自身业绩情况享受公司旅游政策。,有底薪的：底薪2500（10000责任业绩），做满10000提成20%，满10万提成45%。无底薪的：（阶段式提佣）2万以下提成50%，8万以上提成65%，有底薪和无底薪半年可以更改一次,王先生,13626833130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区原味烧烤火锅店,原味烧肉火锅,"昆山开发区中茵广场61,62,63,78号",经理、主管、领班、收银员、服务员、传菜员若干名,包吃住，要求：年龄18--35以下。男女不限，无不良嗜好，管理层须有1--2年的管理经验。,薪资面议,李先生,15190120404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娱乐,玉山镇,无锡方雄动漫科技有限公司昆山黄河中路店,卡通尼幼乐园,昆山开发区珠江中路299号昆山金鹰国际购物中心3层3-06商铺,储备干部、技术人员、导玩员、收银员,要求：年龄18-30岁以下。男女不限，无不良嗜好，储备干部、技术人员包吃住，定期举办聚餐福利,储备干部4000-8000+提成+奖金（上不封顶）；技术人员3000-5000+奖金（上不封顶）；导玩员3000-5000+奖金；收银员3000-5000+提成+奖金,张店长,15151655864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆城广场肯德基,肯德基,昆山市人名南路1188号昆城广场一楼133单元部分、134单元及135单元,全职、兼职、学生数名,18--35周岁，,"1、全职基本工资3000元左右;五险一金，法定假日三薪，享受年假及加班补贴，工作时间灵活有弹性，每周1～2天休息;
2、兼职员工和学生数名：薪资17元/小时，法定假日三薪，多劳多得！",朱经理,18606265098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
面包店,玉山镇,昆山供美香餐饮管理有限公司,供美香,昆山市周市镇金浦路723号,门店收银员、营业员若干,高中以上学历，24-32岁，男女不限。女性身高1.6米以上，男性身高1.68米以上，面貌端正和善，语言表达清晰，为人善良正直有爱心，有强烈的服务意识，行为动作干净利落，能够长时间站立工作。,转正后，综合月收入3500-5000元。,杨经理,13382156016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电影城,开发区,四川卢米埃影业有限公司昆山分公司,卢米埃影城,昆山市珠江中路199号金鹰国际购物中心8层,全职工作人员,1、年龄18-28岁，形象气质佳；2、中专或同等以上学历，专业不限；3、热爱电影，诚实、有责任心、有纪律性，工作积极热情；4、有良好的语言表达能力和沟通能力，普通话标准，英语口语好优先；5、会操作电脑；6、能适应倒班制；7、具备餐饮、零售行业工作经验者优先。,工资面议,杨女士,17715165223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,开发区,昆山开发区辛香汇餐厅,辛香汇,昆山珠江中路199号金鹰购物中心6楼,服务员、领班、店助、勤杂工、小时工,男女不限，18-35岁，善于交际，待人和善，能吃苦耐劳，有上进心。,1、 小时工，18-22元/小时，2，其他2800-5500+房贴+工龄,赵经理,15821750380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通信服务,玉山镇,昆山市信通通讯器材有限公司,移动营业厅,昆山市玉山镇人民南路132号,店长/移动值班经理 5名；移动业务员、手机销售员，若干名,1、店长/移动值班经理：有管理经验、团队意识、挑战高薪；2、移动业务员、手机销售员：形象气质佳、男女不限，有较强团队意识，服从管理，挑战高薪。,1、店长/移动值班经理，综合工资6000以上（上不封顶）；2、移动业务员、手机销售员，综合工资3500以上（上不封顶）。,段经理,15262678887、15250220800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珠宝,玉山镇,昆山市玉山镇金缕城隍珠宝商行,上海城隍珠宝（昆山店）,玉山镇人民南路379号,珠宝顾问若干名,要求：年龄25-38岁，身高160cm以上，沟通能力强，有团队合作精神，形象好气质佳，有上进心，有工作经验者优先。,底薪+提成+奖金+五险+福利+晋升,林经理,0512-50123390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服装业,玉山镇,,乔丹体育,玉山镇人民南路157-1号乔丹专卖,导购员数名,要求：18-35岁，男女不限，热爱零售事业，初中以上文凭，提供培训，包住,3000-7000元/月,渠辉,15850347425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服装业,玉山镇,昆山市玉山镇盛世特步运动服饰人民路专卖店,特步,玉山镇人民南路155号-2-3号,全职导购员数名,要求：18--30周岁，法定假日三薪，享受年假及加班补贴。每天工作8小时，工作轻松快乐、学习、发展、晋升空间大。苏州、无锡、南通大苏南地区专卖店就近安排。,基本工资4000元左右,韩经理,13295219342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山市玉山镇红顶老汉烧鸡公店,红顶老汉烧鸡公,玉山镇西街26号,服务员2名、厨工2名,要求：年龄不限，无不良嗜好，服务员要求女性，厨工要求男性，不要暑假工，包吃住,薪资面议,袁店长,13701581234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服装业,玉山镇,,千百惠百货,玉山镇人民南路千百惠百货,女装、鞋区导购员若干名；男装、女裤、女中年、童装区导购员若干名；饰品区导购员5名；收银员5名（半天班）,要求：18-35岁，男女不限，有工作经验者优先。,收银员每天工作半天，工资2400元/月，其他3000-5000元/月,张店长,18013231275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒店,玉山镇,昆山市菁英酒店管理有限公司,7天连锁酒店,昆山开发区创业路596号,客房服务员、前台收银员数名,有酒店相关工作经验优先,工资不低于3500，可以购买本地社保,邓先生,18550485577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区百年夯碳烤胡椒饼店,百年夯,昆山开发区黄河中路288号一层1#103、1#104商铺,厨师1名、全职3名,要求：20-45岁，性别男，有工作经验者优先，包吃，月休4天。,厨师5000-6000元/月，全职3600-4500元/月，每月另含分红800~1200,肖店长,0512-36639396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,,川号子,昆山市人民南路148号波力大厦2楼,服务员，收银员、学徒、切配、杀鸡,22-46岁，包食宿，有无经验均可。,保底工资3600-4500元，有年终奖。,郝经理,18550576169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒店,,,昆山曙光国际大酒店,青阳中路198号昆山曙光国际大酒店,综合维修工5名,25-45岁左右，岗位职责：1.负责酒店的所有给排水系统的正常运转和保养维修。3.负责酒店内的所有水龙头及卫生洁具的维修保养。4.负责对所有下水、污水道进行维护及疏通。8.除及时完成本职能组负责的各维修任务外，应服从主管和值班工程师的指派，帮助其它工种努力完成相关的维修工作。,工资4000元左右；缴纳五险，国假三薪，享受年假及加班补贴，月休10天。,杨女士,17312658667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区耿氏土菜馆,三河土菜馆,昆山开发区峨眉山路102、106、108号,服务员2名,要求：男女不限，18-45岁，无不良嗜好。,3000-3500/月,金小姐,18994468847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒店,玉山镇,,登豪酒店,昆山开发区前进中路285号,前台2名、保安3名、客房服务员3名，业务经理2名,要求：18-45岁，男女不限，能吃苦耐劳，为人和善。包吃，住宿待定,3200-6000/月,江经理,18068055551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珠宝,玉山镇,,中国黄金,昆山市玉山镇人民南路148号,珠宝顾问若干名,要求：25-40岁，女性，形象端正，上一天休一天，包吃不包住，已婚已育优先。,底薪+提成，面议,梁军香,13913237822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒店,,,商旅阳澄半岛酒店,苏州工业园区阳澄湖半岛慈云路28号,餐饮部服务员10名、客房中心文员2名,服务员160cm以上，文职类大专以上学历， 能熟练操作日常办公软件，有一定的文字处理及沟通协调能力。,月基本工资2200~2500元，另有福利：月度奖金150元/月、劳保费150元/月、高温费160元/月、过节费1500元/年，年底2~3薪的年终奖金，旅游，工会福利等。包吃住,李微微,0512-62962156/13771723704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
